x,y,z
256,-765,3824
448,-695,4496
805,-807,4647
1075,-1003,4479
967,-951,4657
777,-818,4905
448,-917,4754
69,-1090,4638
-291,-1108,5001
-448,-1130,5447
-244,-1288,5612
107,-1496,5649
329,-1608,5681
214,-1720,5496
-292,-1819,5025
-741,-1805,4610
-819,-1727,4435
-529,-1572,4499
-160,-1329,4631
-79,-1063,4620
-416,-858,4432
-830,-751,4173
-857,-740,3930
-459,-550,4003
-52,-220,4083
221,50,3947
410,363,3907
768,627,3844
1138,899,3682
1270,1255,3618
1109,1640,3584
996,1821,3308
1133,2003,3182
1336,2400,3335
1251,2828,3392
836,3100,3106
224,3270,2662
-166,3560,2468
-313,3962,2559
-463,4472,2952
-682,5011,3484
-816,5426,3833
-817,5714,4010
-907,5986,4257
-1139,6088,4762
-1425,5974,4999
-1705,5735,5029
-2200,5334,4706
-2731,4982,4369
-2676,4782,4364
-2296,4451,4253
-1861,4031,4159
-1439,3741,4386
-1227,3448,4424
-1162,3105,4102
-1070,2793,3697
-903,2519,3555
-666,2272,4019
-377,2051,4714
-209,1826,5073
-245,1584,4880
-336,1371,4248
-595,1130,3523
-956,854,3083
-944,657,3384
-404,564,3885
222,398,3905
533,211,3577
889,66,3529
1442,-213,3815
1911,-506,4298
2206,-572,4789
2318,-604,5030
2138,-677,4657
1636,-718,3999
980,-563,3735
470,-427,3730
321,-561,3545
424,-749,3463
322,-898,3564
64,-1107,3809
-190,-1312,4175
-175,-1504,4568
137,-1702,4868
591,-1819,5186
965,-1769,5559
960,-1704,5601
725,-1656,5298
495,-1585,4967
377,-1529,4696
399,-1400,4606
372,-1193,4666
229,-1022,4865
37,-892,4987
-1,-822,4834
212,-897,4507
